district,season,rainfall_mm,avg_temp_C,humidity_%,pH,N_kg_ha,P_kg_ha,K_kg_ha,crop
Mandya,Kharif,812.4,33.3,66.6,7.62,102.7,41.31,122.28,Sugarcane
Vijayapura,Kharif,509.9,31.2,59.6,6.4,128.24,52.05,107.12,Grapes
Bagalkote,Kharif,699.0,24.3,75.5,7.29,123.08,31.35,125.24,Sugarcane
Bagalkote,Kharif,617.7,26.0,32.3,6.91,13.57,11.4,24.03,Pulses
Gadag,Kharif,714.0,32.7,58.1,6.25,30.93,52.75,18.76,Groundnut
Shivamogga,Kharif,1377.2,25.1,89.9,5.12,55.58,21.56,35.64,Coconut
Ramanagara,Rabi,702.1,26.2,50.9,6.24,26.62,35.91,46.68,Groundnut
Dharwad,Rabi,991.5,33.5,53.8,6.3,34.6,24.6,30.82,Jowar
Belagavi,Summer,1058.1,22.1,78.0,6.43,33.41,38.02,37.92,Groundnut
Hassan,Summer,1064.0,27.8,70.5,6.88,49.72,53.2,86.47,Vegetables
Mysuru,Kharif,894.9,22.6,67.3,6.39,78.35,31.04,44.68,Mango
Shivamogga,Kharif,2021.4,22.4,49.3,5.15,122.72,42.89,67.73,Paddy
Dakshina Kannada,Kharif,3481.5,29.0,78.6,6.3,60.85,51.92,155.4,Pepper
Mandya,Kharif,862.8,24.0,59.5,7.74,66.76,58.67,82.17,Vegetables
Hassan,Kharif,820.7,24.4,57.0,6.85,188.16,66.77,183.72,Arecanut
Vijayapura,Kharif,648.1,27.9,77.7,6.7,139.31,75.6,102.21,Grapes
Mysuru,Rabi,1018.2,31.2,61.2,7.89,31.46,33.99,39.97,Groundnut
Vijayapura,Rabi,546.0,36.5,49.5,7.1,120.68,57.12,148.78,Grapes
Dakshina Kannada,Kharif,3504.7,29.9,83.4,5.66,144.62,48.92,199.02,Arecanut
Bagalkote,Summer,628.6,31.6,60.9,6.36,27.69,44.03,43.41,Groundnut
Kalaburagi,Rabi,684.2,37.8,67.7,7.05,45.98,23.7,30.27,Jowar
Mandya,Summer,703.4,26.6,32.8,6.95,50.39,23.44,33.71,Ragi
Haveri,Kharif,623.3,33.7,79.3,7.57,82.67,38.54,51.96,Cotton
Udupi,Kharif,3899.1,30.7,42.5,5.57,140.03,57.97,211.77,Arecanut
Belagavi,Rabi,891.5,28.1,60.9,7.74,142.54,57.44,219.22,Arecanut
Haveri,Kharif,768.3,32.5,50.2,6.47,115.45,53.65,44.16,Maize
Shivamogga,Rabi,1309.9,24.4,93.9,5.11,39.94,50.01,51.38,Vegetables
Dharwad,Kharif,754.6,24.8,74.8,6.28,157.27,35.92,35.41,Wheat
Belagavi,Rabi,947.6,25.6,81.1,6.41,70.67,29.31,65.29,Rice
Vijayapura,Summer,530.8,29.3,31.0,7.98,40.78,17.61,26.19,Sorghum
Haveri,Rabi,869.0,23.0,56.2,8.14,20.64,19.18,19.52,Pulses
Gadag,Rabi,572.7,23.6,60.5,7.27,84.16,19.17,38.71,Cotton
Mysuru,Year-round,825.3,31.9,46.1,7.39,54.82,31.5,46.33,Mango
Dharwad,Summer,978.9,31.6,93.1,7.35,126.43,35.76,39.85,Wheat
Belagavi,Summer,846.8,31.3,61.4,7.27,15.67,17.56,23.01,Pulses
Bagalkote,Year-round,759.5,25.5,41.5,7.29,146.3,45.26,143.93,Sugarcane
Dharwad,Kharif,909.0,32.9,78.9,7.67,57.45,18.08,22.81,Jowar
Dharwad,Year-round,734.0,33.8,71.9,6.31,130.37,46.28,24.27,Wheat
Chitradurga,Rabi,634.3,34.9,47.3,6.54,59.38,15.9,19.6,Sorghum
Ramanagara,Kharif,832.2,24.4,58.0,6.98,90.18,38.76,45.85,Maize
Kalaburagi,Kharif,656.7,35.6,49.9,6.23,38.58,29.17,31.46,Jowar
Belagavi,Rabi,1021.7,27.8,85.6,6.55,22.63,22.62,26.52,Pulses
Dakshina Kannada,Kharif,3037.8,22.5,49.1,5.58,195.07,88.55,150.03,Rubber
Chitradurga,Kharif,624.1,30.4,46.7,6.64,46.39,19.56,30.46,Sorghum
Belagavi,Rabi,1127.6,29.6,78.2,8.03,130.8,27.34,108.73,Sugarcane
Mandya,Kharif,965.8,28.6,52.8,7.0,66.22,31.67,50.57,Coconut
Chitradurga,Year-round,746.0,32.8,50.9,6.32,126.62,34.02,52.85,Maize
Chitradurga,Kharif,719.8,35.2,53.4,6.9,13.59,21.21,20.28,Pulses
Mysuru,Summer,888.2,20.6,69.0,7.72,50.88,29.49,36.31,Mango
Mandya,Kharif,722.8,31.9,54.8,7.56,63.36,17.86,26.57,Ragi
Chitradurga,Summer,635.3,35.5,47.1,6.19,89.98,31.33,35.15,Cotton
Ramanagara,Rabi,829.1,21.2,54.6,6.21,147.58,68.2,120.23,Mulberry
Mysuru,Summer,1040.0,22.1,78.2,6.41,62.63,36.82,39.77,Mango
Haveri,Kharif,770.3,30.3,70.0,7.61,16.36,19.39,21.76,Pulses
Mandya,Kharif,803.8,25.2,79.4,7.95,44.93,38.58,38.04,Coconut
Ramanagara,Kharif,960.4,20.8,78.1,6.81,80.76,70.72,96.56,Tomato
Mysuru,Rabi,1070.6,21.0,76.2,8.2,51.07,14.22,32.34,Ragi
Mysuru,Kharif,974.2,29.4,46.6,6.99,26.56,38.13,27.87,Groundnut
Dharwad,Rabi,843.8,20.4,47.1,7.42,84.14,27.64,75.35,Maize
Hassan,Rabi,872.6,24.3,65.5,7.3,41.12,15.67,38.65,Ragi
Mysuru,Rabi,1112.2,21.8,85.2,7.1,78.63,25.69,40.38,Mango
Haveri,Summer,773.5,25.3,34.0,6.34,84.05,32.25,48.15,Maize
Gadag,Kharif,764.0,31.1,56.6,7.66,14.22,13.9,22.67,Pulses
Haveri,Kharif,887.3,24.1,64.5,7.71,29.93,30.26,40.3,Groundnut
Bagalkote,Summer,785.4,26.3,50.0,7.45,128.91,45.02,41.33,Wheat
Shivamogga,Kharif,1991.3,28.9,79.0,5.6,106.93,29.92,93.66,Sugarcane
Mysuru,Year-round,1042.5,28.7,49.6,6.34,28.03,51.93,72.77,Vegetables
Kalaburagi,Summer,417.4,37.9,32.9,6.4,52.44,27.55,35.71,Sunflower
Vijayapura,Rabi,749.0,35.4,60.8,6.46,26.9,11.72,7.15,Pulses
Shivamogga,Rabi,1164.5,25.5,51.8,5.68,37.94,22.87,24.52,Millets
Hassan,Rabi,860.0,21.9,66.9,7.77,40.29,58.72,96.76,Coffee
Dakshina Kannada,Summer,2875.2,24.5,86.2,5.96,268.68,71.02,213.89,Rubber
Hassan,Kharif,1049.9,22.6,51.3,7.26,44.84,16.49,36.9,Ragi
Dharwad,Year-round,924.4,31.4,76.1,7.08,16.06,15.63,14.58,Pulses
Vijayapura,Kharif,716.1,33.0,44.3,7.12,120.95,65.44,141.77,Grapes
Mysuru,Rabi,1088.8,30.4,72.6,7.79,45.69,18.9,31.34,Mango
Udupi,Year-round,3463.5,22.6,71.9,6.21,82.37,55.07,111.31,Cashew
Mysuru,Kharif,835.4,21.1,59.9,7.77,97.85,47.17,81.09,Paddy
Dakshina Kannada,Rabi,3745.5,30.4,50.2,5.12,57.54,32.84,30.86,Coconut
Vijayapura,Kharif,668.9,34.7,37.9,8.11,69.01,62.7,90.56,Onion
Gadag,Summer,578.5,25.5,75.3,7.75,25.11,31.76,37.54,Groundnut
Ramanagara,Kharif,718.8,32.5,37.0,5.55,55.57,47.23,70.62,Maize
